epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1380.43,1.39934,1.26241,1.48316,0.48881,0.67305,0.56692,0.25481,1.78997,1.99129,1.88726,0.0005075,0.0005075,0.0005075
74,1398.92,1.37602,1.32745,1.47356,0.71838,0.61868,0.58706,0.2945,1.7568,1.76435,1.85109,0.000497188,0.000497188,0.000497188
75,1417.39,1.44159,1.26783,1.50602,0.7202,0.55071,0.56762,0.2745,1.78335,1.90116,1.90392,0.000486875,0.000486875,0.000486875
76,1436.1,1.3879,1.24629,1.46586,0.83484,0.57351,0.63472,0.29534,1.76123,1.59768,1.90735,0.000476562,0.000476562,0.000476562
77,1454.77,1.4139,1.27178,1.49336,0.52625,0.67533,0.59472,0.29583,1.78239,1.63064,1.90112,0.00046625,0.00046625,0.00046625
78,1473.44,1.38534,1.28592,1.49234,0.7483,0.63367,0.59256,0.27999,1.76076,1.58538,1.88545,0.000455937,0.000455937,0.000455937
79,1492.36,1.43673,1.26655,1.50444,0.72541,0.55871,0.59174,0.3048,1.75113,1.67375,1.89353,0.000445625,0.000445625,0.000445625
80,1510.96,1.35692,1.15143,1.4503,0.52107,0.7205,0.63202,0.28882,1.77579,1.70331,1.89506,0.000435312,0.000435312,0.000435312
81,1529.64,1.36452,1.16377,1.42454,0.77556,0.4976,0.58704,0.29068,1.84584,1.69424,1.97587,0.000425,0.000425,0.000425
82,1548.61,1.38013,1.23357,1.44822,0.73282,0.61525,0.56171,0.27267,1.75508,1.65442,1.84906,0.000414688,0.000414688,0.000414688
83,1567.11,1.34933,1.14923,1.43203,0.69766,0.55943,0.52211,0.26095,1.79452,1.72725,1.87409,0.000404375,0.000404375,0.000404375
84,1585.71,1.33889,1.15582,1.43753,0.73465,0.57445,0.57632,0.26796,1.82263,1.78191,1.94095,0.000394063,0.000394063,0.000394063
85,1604.54,1.37336,1.11941,1.45198,0.75816,0.60896,0.60667,0.29857,1.82342,2.01323,1.99331,0.00038375,0.00038375,0.00038375
86,1622.96,1.39314,1.16501,1.47235,0.86229,0.5541,0.64574,0.317,1.8245,1.58334,1.9434,0.000373437,0.000373437,0.000373437
87,1641.43,1.40176,1.18026,1.48376,0.7855,0.59682,0.65312,0.30424,1.90383,1.73568,2.12466,0.000363125,0.000363125,0.000363125
88,1660.15,1.32395,1.09179,1.42726,0.79342,0.60312,0.60397,0.29315,1.78199,1.79347,1.94801,0.000352812,0.000352812,0.000352812
89,1678.75,1.35875,1.17773,1.45024,0.84692,0.60757,0.65084,0.31339,1.80713,1.54516,1.99415,0.0003425,0.0003425,0.0003425
90,1697.26,1.36668,1.11027,1.46573,0.76934,0.51653,0.59674,0.30812,1.80525,1.91964,1.9815,0.000332187,0.000332187,0.000332187
91,1716.22,1.33909,1.09355,1.41606,0.67859,0.65472,0.70379,0.32207,1.79939,1.68162,1.93484,0.000321875,0.000321875,0.000321875
92,1734.64,1.30922,1.10015,1.4218,0.83322,0.60937,0.69248,0.32035,1.8118,1.61518,1.93748,0.000311563,0.000311563,0.000311563
93,1753.31,1.29823,1.07848,1.40177,0.60358,0.59826,0.64076,0.30476,1.8087,1.56971,1.93532,0.00030125,0.00030125,0.00030125
94,1771.85,1.30356,1.04107,1.41315,0.54869,0.626,0.63898,0.30461,1.79143,1.61542,1.97625,0.000290937,0.000290937,0.000290937
95,1790.24,1.28855,1.08094,1.3866,0.58515,0.67839,0.67034,0.30641,1.78743,1.50665,2.01329,0.000280625,0.000280625,0.000280625
96,1808.52,1.28263,1.07576,1.39381,0.53934,0.63995,0.66721,0.30004,1.83422,1.54612,2.02838,0.000270313,0.000270313,0.000270313
97,1827.42,1.29152,1.03496,1.38753,0.62925,0.66464,0.67643,0.31698,1.78655,1.76304,1.97291,0.00026,0.00026,0.00026
98,1846.2,1.28556,1.04808,1.41024,0.81088,0.58145,0.67985,0.32484,1.8076,1.71945,1.9881,0.000249687,0.000249687,0.000249687
99,1864.71,1.28142,1.03215,1.38447,0.81967,0.59311,0.65946,0.3276,1.75709,1.62021,1.90433,0.000239375,0.000239375,0.000239375
100,1883.16,1.24719,1.14992,1.38636,0.76342,0.62765,0.70179,0.31784,1.8464,1.6672,2.00404,0.000229063,0.000229063,0.000229063
101,1901.93,1.25248,1.02967,1.38203,0.81066,0.62399,0.71507,0.32257,1.75582,1.55774,1.87857,0.00021875,0.00021875,0.00021875
102,1920.51,1.32033,1.08136,1.4308,0.79643,0.65165,0.71202,0.31967,1.76276,1.48377,1.90983,0.000208438,0.000208438,0.000208438
103,1939.24,1.31779,1.08709,1.4226,0.67074,0.63291,0.65392,0.29617,1.79812,1.6983,1.93172,0.000198125,0.000198125,0.000198125
104,1957.69,1.25526,1.06846,1.3882,0.70397,0.63246,0.63377,0.27998,1.83288,1.78037,2.02225,0.000187813,0.000187813,0.000187813
105,1976.6,1.26817,0.99313,1.39378,0.62835,0.67461,0.64854,0.29132,1.83505,1.63608,2.02664,0.0001775,0.0001775,0.0001775
106,1995.16,1.27482,1.051,1.39369,0.74591,0.63759,0.6169,0.26832,1.82599,1.70406,2.01626,0.000167188,0.000167188,0.000167188
107,2013.93,1.20653,1.0063,1.34327,0.60793,0.67975,0.61751,0.27017,1.80633,1.54893,1.95921,0.000156875,0.000156875,0.000156875
108,2032.45,1.23173,1.00275,1.34505,0.82835,0.60129,0.65328,0.28219,1.84113,1.56151,2.01075,0.000146562,0.000146562,0.000146562
109,2050.81,1.22882,1.03162,1.37143,0.62065,0.675,0.65764,0.29084,1.87178,1.58764,2.03354,0.00013625,0.00013625,0.00013625
110,2069.3,1.19905,0.97289,1.3224,0.59898,0.67428,0.65369,0.29873,1.82738,1.46173,1.99854,0.000125938,0.000125938,0.000125938
111,2105.06,1.0406,0.79507,1.19411,0.5846,0.64101,0.59558,0.28486,1.80246,1.58737,1.97696,0.000115625,0.000115625,0.000115625
112,2123.5,1.06514,0.76079,1.20626,0.49798,0.6698,0.56129,0.27263,1.81769,1.61154,1.9811,0.000105312,0.000105312,0.000105312
113,2141.42,1.01627,0.73593,1.19659,0.59449,0.66166,0.59911,0.26863,1.80465,1.5872,1.98794,9.5e-05,9.5e-05,9.5e-05
114,2159.91,1.03889,0.74256,1.19236,0.5875,0.65907,0.60507,0.29135,1.79066,1.47394,1.97219,8.46875e-05,8.46875e-05,8.46875e-05
115,2177.96,1.04449,0.73116,1.19252,0.6653,0.64185,0.62043,0.28503,1.79667,1.54738,1.96729,7.4375e-05,7.4375e-05,7.4375e-05
116,2196.2,1.01476,0.7075,1.18485,0.72558,0.62992,0.64329,0.2917,1.80977,1.53449,1.97682,6.40625e-05,6.40625e-05,6.40625e-05
117,2214.04,0.99747,0.70764,1.15767,0.67532,0.64518,0.67059,0.28959,1.80821,1.50531,1.98676,5.375e-05,5.375e-05,5.375e-05
118,2232.4,1.00692,0.69076,1.1607,0.70351,0.64256,0.69999,0.29793,1.79918,1.52714,1.98798,4.34375e-05,4.34375e-05,4.34375e-05
119,2250.25,1.03699,0.70211,1.17912,0.76045,0.63621,0.6722,0.3018,1.78275,1.4865,1.96822,3.3125e-05,3.3125e-05,3.3125e-05
120,2268.5,0.98521,0.6913,1.14133,0.66287,0.64043,0.6715,0.29607,1.81612,1.54294,1.99256,2.28125e-05,2.28125e-05,2.28125e-05
